,Filepaths,Label
29,..\..\data\raw\FoodClassification\pav_bhaji\347.jpg,pav_bhaji
30,..\..\data\raw\FoodClassification\butter_naan\001.jpg,butter_naan
31,..\..\data\raw\FoodClassification\pav_bhaji\270.jpg,pav_bhaji
32,..\..\data\raw\FoodClassification\kulfi\171.jpg,kulfi
33,..\..\data\raw\FoodClassification\dal_makhani\252.jpg,dal_makhani
34,..\..\data\raw\FoodClassification\chole_bhature\295.jpg,chole_bhature
35,..\..\data\raw\FoodClassification\paani_puri\120.jpg,paani_puri
36,..\..\data\raw\FoodClassification\burger\275.jpg,burger
37,..\..\data\raw\FoodClassification\fried_rice\171.jpg,fried_rice
38,..\..\data\raw\FoodClassification\burger\067.jpg,burger
39,..\..\data\raw\FoodClassification\fried_rice\204.jpg,fried_rice
40,..\..\data\raw\FoodClassification\kulfi\206.jpg,kulfi
41,..\..\data\raw\FoodClassification\chole_bhature\257.jpg,chole_bhature
42,..\..\data\raw\FoodClassification\momos\174.jpg,momos
43,..\..\data\raw\FoodClassification\butter_naan\280.jpg,butter_naan
44,..\..\data\raw\FoodClassification\pav_bhaji\260.jpg,pav_bhaji
45,..\..\data\raw\FoodClassification\chole_bhature\183.jpg,chole_bhature
46,..\..\data\raw\FoodClassification\pizza\009.jpg,pizza
47,..\..\data\raw\FoodClassification\dhokla\275.jpg,dhokla
48,..\..\data\raw\FoodClassification\pav_bhaji\057.jpg,pav_bhaji
49,..\..\data\raw\FoodClassification\chai\272.jpg,chai
50,..\..\data\raw\FoodClassification\paani_puri\080.jpg,paani_puri
51,..\..\data\raw\FoodClassification\butter_naan\198.jpg,butter_naan
52,..\..\data\raw\FoodClassification\pakode\259.jpg,pakode
53,..\..\data\raw\FoodClassification\idli\286.jpg,idli
54,..\..\data\raw\FoodClassification\burger\237.jpg,burger
55,..\..\data\raw\FoodClassification\jalebi\122.jpg,jalebi
56,..\..\data\raw\FoodClassification\jalebi\278.jpg,jalebi
57,..\..\data\raw\FoodClassification\chai\160.jpg,chai
58,..\..\data\raw\FoodClassification\idli\297.jpg,idli
59,..\..\data\raw\FoodClassification\dal_makhani\296.jpg,dal_makhani
60,..\..\data\raw\FoodClassification\butter_naan\020.jpg,butter_naan
61,..\..\data\raw\FoodClassification\kadai_paneer\110.jpg,kadai_paneer
62,..\..\data\raw\FoodClassification\butter_naan\063.jpg,butter_naan
63,..\..\data\raw\FoodClassification\jalebi\003.jpg,jalebi
64,..\..\data\raw\FoodClassification\dhokla\241.jpg,dhokla
65,..\..\data\raw\FoodClassification\samosa\259.jpg,samosa
66,..\..\data\raw\FoodClassification\chai\217.jpg,chai
67,..\..\data\raw\FoodClassification\dal_makhani\255.jpg,dal_makhani
68,..\..\data\raw\FoodClassification\pav_bhaji\162.jpg,pav_bhaji
69,..\..\data\raw\FoodClassification\fried_rice\156.jpg,fried_rice
70,..\..\data\raw\FoodClassification\samosa\260.jpg,samosa
71,..\..\data\raw\FoodClassification\pav_bhaji\005.jpg,pav_bhaji
72,..\..\data\raw\FoodClassification\idli\173.jpg,idli
73,..\..\data\raw\FoodClassification\dhokla\224.jpg,dhokla
74,..\..\data\raw\FoodClassification\kadai_paneer\309.jpg,kadai_paneer
75,..\..\data\raw\FoodClassification\pav_bhaji\156.jpg,pav_bhaji
76,..\..\data\raw\FoodClassification\burger\301.jpg,burger
77,..\..\data\raw\FoodClassification\pizza\081.jpg,pizza
78,..\..\data\raw\FoodClassification\paani_puri\117.jpg,paani_puri
79,..\..\data\raw\FoodClassification\idli\128.jpg,idli
80,..\..\data\raw\FoodClassification\kaathi_rolls\086.jpg,kaathi_rolls
81,..\..\data\raw\FoodClassification\kaathi_rolls\105.jpg,kaathi_rolls
82,..\..\data\raw\FoodClassification\momos\090.jpg,momos
83,..\..\data\raw\FoodClassification\kaathi_rolls\130.jpg,kaathi_rolls
84,..\..\data\raw\FoodClassification\kaathi_rolls\153.jpg,kaathi_rolls
85,..\..\data\raw\FoodClassification\chai\377.jpg,chai
86,..\..\data\raw\FoodClassification\butter_naan\221.jpg,butter_naan
87,..\..\data\raw\FoodClassification\masala_dosa\082.jpg,masala_dosa
88,..\..\data\raw\FoodClassification\chapati\356.jpg,chapati
89,..\..\data\raw\FoodClassification\jalebi\156.jpg,jalebi
90,..\..\data\raw\FoodClassification\pakode\035.jpg,pakode
91,..\..\data\raw\FoodClassification\kulfi\109.jpg,kulfi
92,..\..\data\raw\FoodClassification\kaathi_rolls\215.jpg,kaathi_rolls
93,..\..\data\raw\FoodClassification\paani_puri\087.jpg,paani_puri
94,..\..\data\raw\FoodClassification\chapati\315.jpg,chapati
95,..\..\data\raw\FoodClassification\samosa\172.jpg,samosa
96,..\..\data\raw\FoodClassification\masala_dosa\311.jpg,masala_dosa
97,..\..\data\raw\FoodClassification\butter_naan\085.jpg,butter_naan
98,..\..\data\raw\FoodClassification\dal_makhani\198.jpg,dal_makhani
99,..\..\data\raw\FoodClassification\burger\085.jpg,burger
100,..\..\data\raw\FoodClassification\chapati\083.jpg,chapati
101,..\..\data\raw\FoodClassification\kulfi\230.jpg,kulfi
102,..\..\data\raw\FoodClassification\pakode\200.jpg,pakode
103,..\..\data\raw\FoodClassification\momos\290.jpg,momos
104,..\..\data\raw\FoodClassification\fried_rice\068.jpg,fried_rice
105,..\..\data\raw\FoodClassification\momos\163.jpg,momos
106,..\..\data\raw\FoodClassification\idli\028.jpg,idli
107,..\..\data\raw\FoodClassification\fried_rice\288.jpg,fried_rice
108,..\..\data\raw\FoodClassification\chapati\132.jpg,chapati
109,..\..\data\raw\FoodClassification\chai\324.jpg,chai
110,..\..\data\raw\FoodClassification\butter_naan\253.jpg,butter_naan
111,..\..\data\raw\FoodClassification\kulfi\165.jpg,kulfi
112,..\..\data\raw\FoodClassification\burger\042.jpg,burger
113,..\..\data\raw\FoodClassification\pav_bhaji\154.jpg,pav_bhaji
114,..\..\data\raw\FoodClassification\jalebi\138.jpg,jalebi
115,..\..\data\raw\FoodClassification\dhokla\198.jpg,dhokla
116,..\..\data\raw\FoodClassification\chapati\348.jpg,chapati
117,..\..\data\raw\FoodClassification\jalebi\172.jpg,jalebi
118,..\..\data\raw\FoodClassification\kadai_paneer\038.jpg,kadai_paneer
119,..\..\data\raw\FoodClassification\chapati\099.jpg,chapati
120,..\..\data\raw\FoodClassification\pakode\219.jpg,pakode
121,..\..\data\raw\FoodClassification\kadai_paneer\216.jpg,kadai_paneer
122,..\..\data\raw\FoodClassification\pav_bhaji\033.jpg,pav_bhaji
123,..\..\data\raw\FoodClassification\chapati\214.jpg,chapati
124,..\..\data\raw\FoodClassification\pakode\191.jpg,pakode
125,..\..\data\raw\FoodClassification\chole_bhature\296.jpg,chole_bhature
126,..\..\data\raw\FoodClassification\burger\033.jpg,burger
127,..\..\data\raw\FoodClassification\kadai_paneer\118.jpg,kadai_paneer
128,..\..\data\raw\FoodClassification\burger\235.jpg,burger
129,..\..\data\raw\FoodClassification\dhokla\028.jpg,dhokla
130,..\..\data\raw\FoodClassification\chapati\129.jpg,chapati
131,..\..\data\raw\FoodClassification\kadai_paneer\328.jpg,kadai_paneer
132,..\..\data\raw\FoodClassification\jalebi\254.jpg,jalebi
133,..\..\data\raw\FoodClassification\chole_bhature\290.jpg,chole_bhature
134,..\..\data\raw\FoodClassification\momos\039.jpg,momos
135,..\..\data\raw\FoodClassification\chole_bhature\399.jpg,chole_bhature
136,..\..\data\raw\FoodClassification\samosa\039.jpg,samosa
137,..\..\data\raw\FoodClassification\burger\130.jpg,burger
138,..\..\data\raw\FoodClassification\kadai_paneer\255.jpg,kadai_paneer
139,..\..\data\raw\FoodClassification\butter_naan\252.jpg,butter_naan
140,..\..\data\raw\FoodClassification\dhokla\208.jpg,dhokla
141,..\..\data\raw\FoodClassification\momos\070.jpg,momos
142,..\..\data\raw\FoodClassification\momos\122.jpg,momos
143,..\..\data\raw\FoodClassification\dhokla\239.jpg,dhokla
144,..\..\data\raw\FoodClassification\masala_dosa\123.jpg,masala_dosa
145,..\..\data\raw\FoodClassification\chole_bhature\396.jpg,chole_bhature
146,..\..\data\raw\FoodClassification\chai\128.jpg,chai
147,..\..\data\raw\FoodClassification\burger\080.jpg,burger
148,..\..\data\raw\FoodClassification\pav_bhaji\075.jpg,pav_bhaji
149,..\..\data\raw\FoodClassification\masala_dosa\037.jpg,masala_dosa
150,..\..\data\raw\FoodClassification\kadai_paneer\323.jpg,kadai_paneer
151,..\..\data\raw\FoodClassification\dhokla\227.jpg,dhokla
152,..\..\data\raw\FoodClassification\butter_naan\269.jpg,butter_naan
153,..\..\data\raw\FoodClassification\pav_bhaji\147.jpg,pav_bhaji
154,..\..\data\raw\FoodClassification\chapati\009.jpg,chapati
155,..\..\data\raw\FoodClassification\dal_makhani\178.jpg,dal_makhani
156,..\..\data\raw\FoodClassification\jalebi\133.jpg,jalebi
157,..\..\data\raw\FoodClassification\dal_makhani\171.jpg,dal_makhani
158,..\..\data\raw\FoodClassification\pizza\020.jpg,pizza
159,..\..\data\raw\FoodClassification\pakode\061.jpg,pakode
160,..\..\data\raw\FoodClassification\kulfi\125.jpg,kulfi
161,..\..\data\raw\FoodClassification\fried_rice\070.jpg,fried_rice
162,..\..\data\raw\FoodClassification\samosa\119.jpg,samosa
163,..\..\data\raw\FoodClassification\paani_puri\060.jpg,paani_puri
164,..\..\data\raw\FoodClassification\idli\008.jpg,idli
165,..\..\data\raw\FoodClassification\chole_bhature\410.jpg,chole_bhature
166,..\..\data\raw\FoodClassification\jalebi\215.jpg,jalebi
167,..\..\data\raw\FoodClassification\masala_dosa\244.jpg,masala_dosa
168,..\..\data\raw\FoodClassification\dal_makhani\165.jpg,dal_makhani
169,..\..\data\raw\FoodClassification\chole_bhature\345.jpg,chole_bhature
170,..\..\data\raw\FoodClassification\dhokla\147.jpg,dhokla
171,..\..\data\raw\FoodClassification\paani_puri\119.jpg,paani_puri
172,..\..\data\raw\FoodClassification\dhokla\185.jpg,dhokla
173,..\..\data\raw\FoodClassification\pav_bhaji\059.jpg,pav_bhaji
174,..\..\data\raw\FoodClassification\kaathi_rolls\094.jpg,kaathi_rolls
175,..\..\data\raw\FoodClassification\paani_puri\090.jpg,paani_puri
176,..\..\data\raw\FoodClassification\kadai_paneer\320.jpg,kadai_paneer
177,..\..\data\raw\FoodClassification\dal_makhani\079.jpg,dal_makhani
178,..\..\data\raw\FoodClassification\pav_bhaji\252.jpg,pav_bhaji
179,..\..\data\raw\FoodClassification\burger\175.jpg,burger
180,..\..\data\raw\FoodClassification\kaathi_rolls\211.jpg,kaathi_rolls
181,..\..\data\raw\FoodClassification\chole_bhature\409.jpg,chole_bhature
182,..\..\data\raw\FoodClassification\chai\030.jpg,chai
183,..\..\data\raw\FoodClassification\jalebi\026.jpg,jalebi
184,..\..\data\raw\FoodClassification\fried_rice\225.jpg,fried_rice
185,..\..\data\raw\FoodClassification\samosa\002.jpg,samosa
186,..\..\data\raw\FoodClassification\kaathi_rolls\029.jpg,kaathi_rolls
187,..\..\data\raw\FoodClassification\chole_bhature\181.jpg,chole_bhature
188,..\..\data\raw\FoodClassification\pizza\189.jpg,pizza
189,..\..\data\raw\FoodClassification\idli\229.jpg,idli
190,..\..\data\raw\FoodClassification\momos\098.jpg,momos
191,..\..\data\raw\FoodClassification\butter_naan\262.jpg,butter_naan
192,..\..\data\raw\FoodClassification\masala_dosa\266.jpg,masala_dosa
193,..\..\data\raw\FoodClassification\jalebi\169.jpg,jalebi
194,..\..\data\raw\FoodClassification\chapati\008.jpg,chapati
195,..\..\data\raw\FoodClassification\dal_makhani\302.jpg,dal_makhani
196,..\..\data\raw\FoodClassification\chai\286.jpg,chai
197,..\..\data\raw\FoodClassification\fried_rice\051.jpg,fried_rice
198,..\..\data\raw\FoodClassification\masala_dosa\059.jpg,masala_dosa
199,..\..\data\raw\FoodClassification\fried_rice\069.jpg,fried_rice
200,..\..\data\raw\FoodClassification\kadai_paneer\391.jpg,kadai_paneer
201,..\..\data\raw\FoodClassification\fried_rice\136.jpg,fried_rice
202,..\..\data\raw\FoodClassification\kaathi_rolls\255.jpg,kaathi_rolls
203,..\..\data\raw\FoodClassification\kaathi_rolls\237.jpg,kaathi_rolls
204,..\..\data\raw\FoodClassification\pakode\246.jpg,pakode
205,..\..\data\raw\FoodClassification\jalebi\272.jpg,jalebi
206,..\..\data\raw\FoodClassification\pizza\084.jpg,pizza
207,..\..\data\raw\FoodClassification\fried_rice\089.jpg,fried_rice
208,..\..\data\raw\FoodClassification\idli\204.jpg,idli
209,..\..\data\raw\FoodClassification\kadai_paneer\265.jpg,kadai_paneer
210,..\..\data\raw\FoodClassification\jalebi\259.jpg,jalebi
211,..\..\data\raw\FoodClassification\chapati\104.jpg,chapati
212,..\..\data\raw\FoodClassification\kadai_paneer\210.jpg,kadai_paneer
213,..\..\data\raw\FoodClassification\chapati\248.jpg,chapati
214,..\..\data\raw\FoodClassification\fried_rice\005.jpg,fried_rice
215,..\..\data\raw\FoodClassification\pav_bhaji\144.jpg,pav_bhaji
216,..\..\data\raw\FoodClassification\kulfi\110.jpg,kulfi
217,..\..\data\raw\FoodClassification\chapati\228.jpg,chapati
218,..\..\data\raw\FoodClassification\chapati\217.jpg,chapati
219,..\..\data\raw\FoodClassification\burger\153.jpg,burger
220,..\..\data\raw\FoodClassification\idli\273.jpg,idli
221,..\..\data\raw\FoodClassification\kadai_paneer\055.jpg,kadai_paneer
222,..\..\data\raw\FoodClassification\kadai_paneer\134.jpg,kadai_paneer
223,..\..\data\raw\FoodClassification\chai\083.jpg,chai
224,..\..\data\raw\FoodClassification\chapati\281.jpg,chapati
225,..\..\data\raw\FoodClassification\fried_rice\167.jpg,fried_rice
226,..\..\data\raw\FoodClassification\chapati\069.jpg,chapati
227,..\..\data\raw\FoodClassification\chole_bhature\227.jpg,chole_bhature
228,..\..\data\raw\FoodClassification\samosa\105.jpg,samosa
229,..\..\data\raw\FoodClassification\jalebi\070.jpg,jalebi
230,..\..\data\raw\FoodClassification\dal_makhani\073.jpg,dal_makhani
231,..\..\data\raw\FoodClassification\fried_rice\080.jpg,fried_rice
232,..\..\data\raw\FoodClassification\dhokla\175.jpg,dhokla
233,..\..\data\raw\FoodClassification\masala_dosa\044.jpg,masala_dosa
234,..\..\data\raw\FoodClassification\pav_bhaji\132.jpg,pav_bhaji
235,..\..\data\raw\FoodClassification\chole_bhature\145.jpg,chole_bhature
236,..\..\data\raw\FoodClassification\chole_bhature\137.jpg,chole_bhature
237,..\..\data\raw\FoodClassification\pav_bhaji\256.jpg,pav_bhaji
238,..\..\data\raw\FoodClassification\chole_bhature\202.jpg,chole_bhature
239,..\..\data\raw\FoodClassification\jalebi\074.jpg,jalebi
240,..\..\data\raw\FoodClassification\fried_rice\346.jpg,fried_rice
241,..\..\data\raw\FoodClassification\kulfi\121.jpg,kulfi
242,..\..\data\raw\FoodClassification\chole_bhature\052.jpg,chole_bhature
243,..\..\data\raw\FoodClassification\jalebi\116.jpg,jalebi
244,..\..\data\raw\FoodClassification\chapati\170.jpg,chapati
245,..\..\data\raw\FoodClassification\dal_makhani\299.jpg,dal_makhani
246,..\..\data\raw\FoodClassification\butter_naan\132.jpg,butter_naan
247,..\..\data\raw\FoodClassification\pakode\214.jpg,pakode
248,..\..\data\raw\FoodClassification\momos\029.jpg,momos
249,..\..\data\raw\FoodClassification\kadai_paneer\281.jpg,kadai_paneer
250,..\..\data\raw\FoodClassification\burger\143.jpg,burger
251,..\..\data\raw\FoodClassification\burger\230.jpg,burger
252,..\..\data\raw\FoodClassification\momos\120.jpg,momos
253,..\..\data\raw\FoodClassification\pav_bhaji\218.jpg,pav_bhaji
254,..\..\data\raw\FoodClassification\chai\193.jpg,chai
255,..\..\data\raw\FoodClassification\chole_bhature\007.jpg,chole_bhature
256,..\..\data\raw\FoodClassification\burger\123.jpg,burger
257,..\..\data\raw\FoodClassification\kulfi\204.jpg,kulfi
258,..\..\data\raw\FoodClassification\butter_naan\152.jpg,butter_naan
259,..\..\data\raw\FoodClassification\burger\270.jpg,burger
260,..\..\data\raw\FoodClassification\idli\100.jpg,idli
261,..\..\data\raw\FoodClassification\pav_bhaji\129.jpg,pav_bhaji
262,..\..\data\raw\FoodClassification\samosa\188.jpg,samosa
263,..\..\data\raw\FoodClassification\momos\310.jpg,momos
264,..\..\data\raw\FoodClassification\chapati\246.jpg,chapati
265,..\..\data\raw\FoodClassification\jalebi\171.jpg,jalebi
266,..\..\data\raw\FoodClassification\butter_naan\225.jpg,butter_naan
267,..\..\data\raw\FoodClassification\idli\262.jpg,idli
268,..\..\data\raw\FoodClassification\momos\197.jpg,momos
269,..\..\data\raw\FoodClassification\jalebi\185.jpg,jalebi
270,..\..\data\raw\FoodClassification\pizza\091.jpg,pizza
271,..\..\data\raw\FoodClassification\chai\213.jpg,chai
272,..\..\data\raw\FoodClassification\pizza\067.jpg,pizza
273,..\..\data\raw\FoodClassification\dal_makhani\081.jpg,dal_makhani
274,..\..\data\raw\FoodClassification\masala_dosa\209.jpg,masala_dosa
275,..\..\data\raw\FoodClassification\kadai_paneer\139.jpg,kadai_paneer
276,..\..\data\raw\FoodClassification\dhokla\044.jpg,dhokla
277,..\..\data\raw\FoodClassification\burger\245.jpg,burger
278,..\..\data\raw\FoodClassification\pav_bhaji\046.jpg,pav_bhaji
279,..\..\data\raw\FoodClassification\kulfi\115.jpg,kulfi
280,..\..\data\raw\FoodClassification\chai\244.jpg,chai
281,..\..\data\raw\FoodClassification\chapati\029.jpg,chapati
282,..\..\data\raw\FoodClassification\samosa\195.jpg,samosa
283,..\..\data\raw\FoodClassification\samosa\227.jpg,samosa
284,..\..\data\raw\FoodClassification\burger\018.jpg,burger
285,..\..\data\raw\FoodClassification\idli\210.jpg,idli
286,..\..\data\raw\FoodClassification\chole_bhature\027.jpg,chole_bhature
287,..\..\data\raw\FoodClassification\dal_makhani\058.jpg,dal_makhani
288,..\..\data\raw\FoodClassification\jalebi\269.jpg,jalebi
289,..\..\data\raw\FoodClassification\chai\351.jpg,chai
290,..\..\data\raw\FoodClassification\chole_bhature\152.jpg,chole_bhature
291,..\..\data\raw\FoodClassification\momos\024.jpg,momos
292,..\..\data\raw\FoodClassification\idli\245.jpg,idli
293,..\..\data\raw\FoodClassification\idli\184.jpg,idli
294,..\..\data\raw\FoodClassification\burger\037.jpg,burger
295,..\..\data\raw\FoodClassification\chai\350.jpg,chai
296,..\..\data\raw\FoodClassification\dal_makhani\261.jpg,dal_makhani
297,..\..\data\raw\FoodClassification\kulfi\149.jpg,kulfi
298,..\..\data\raw\FoodClassification\momos\202.jpg,momos
299,..\..\data\raw\FoodClassification\kadai_paneer\304.jpg,kadai_paneer
300,..\..\data\raw\FoodClassification\masala_dosa\257.jpg,masala_dosa
301,..\..\data\raw\FoodClassification\pizza\047.jpg,pizza
302,..\..\data\raw\FoodClassification\kadai_paneer\234.jpg,kadai_paneer
303,..\..\data\raw\FoodClassification\butter_naan\170.jpg,butter_naan
304,..\..\data\raw\FoodClassification\momos\272.jpg,momos
305,..\..\data\raw\FoodClassification\chai\120.jpg,chai
306,..\..\data\raw\FoodClassification\chole_bhature\233.jpg,chole_bhature
307,..\..\data\raw\FoodClassification\dhokla\249.jpg,dhokla
308,..\..\data\raw\FoodClassification\fried_rice\116.jpg,fried_rice
309,..\..\data\raw\FoodClassification\idli\043.jpg,idli
310,..\..\data\raw\FoodClassification\momos\198.jpg,momos
311,..\..\data\raw\FoodClassification\chapati\051.jpg,chapati
312,..\..\data\raw\FoodClassification\dal_makhani\190.jpg,dal_makhani
313,..\..\data\raw\FoodClassification\kaathi_rolls\136.jpg,kaathi_rolls
314,..\..\data\raw\FoodClassification\kaathi_rolls\095.jpg,kaathi_rolls
315,..\..\data\raw\FoodClassification\dhokla\027.jpg,dhokla
316,..\..\data\raw\FoodClassification\idli\009.jpg,idli
317,..\..\data\raw\FoodClassification\dal_makhani\292.jpg,dal_makhani
318,..\..\data\raw\FoodClassification\chapati\160.jpg,chapati
319,..\..\data\raw\FoodClassification\pakode\109.jpg,pakode
320,..\..\data\raw\FoodClassification\kadai_paneer\047.jpg,kadai_paneer
321,..\..\data\raw\FoodClassification\kadai_paneer\190.jpg,kadai_paneer
322,..\..\data\raw\FoodClassification\chole_bhature\003.jpg,chole_bhature
323,..\..\data\raw\FoodClassification\kulfi\114.jpg,kulfi
324,..\..\data\raw\FoodClassification\momos\247.jpg,momos
325,..\..\data\raw\FoodClassification\fried_rice\210.jpg,fried_rice
326,..\..\data\raw\FoodClassification\momos\260.jpg,momos
327,..\..\data\raw\FoodClassification\kadai_paneer\336.jpg,kadai_paneer
328,..\..\data\raw\FoodClassification\kulfi\039.jpg,kulfi
329,..\..\data\raw\FoodClassification\kadai_paneer\151.jpg,kadai_paneer
330,..\..\data\raw\FoodClassification\pizza\008.jpg,pizza
331,..\..\data\raw\FoodClassification\fried_rice\332.jpg,fried_rice
332,..\..\data\raw\FoodClassification\chapati\079.jpg,chapati
333,..\..\data\raw\FoodClassification\jalebi\029.jpg,jalebi
334,..\..\data\raw\FoodClassification\chai\156.jpg,chai
335,..\..\data\raw\FoodClassification\chapati\225.jpg,chapati
336,..\..\data\raw\FoodClassification\dal_makhani\040.jpg,dal_makhani
337,..\..\data\raw\FoodClassification\momos\199.jpg,momos
338,..\..\data\raw\FoodClassification\masala_dosa\285.jpg,masala_dosa
339,..\..\data\raw\FoodClassification\kadai_paneer\365.jpg,kadai_paneer
340,..\..\data\raw\FoodClassification\masala_dosa\152.jpg,masala_dosa
341,..\..\data\raw\FoodClassification\dal_makhani\297.jpg,dal_makhani
342,..\..\data\raw\FoodClassification\jalebi\256.jpg,jalebi
343,..\..\data\raw\FoodClassification\masala_dosa\171.jpg,masala_dosa
344,..\..\data\raw\FoodClassification\kadai_paneer\241.jpg,kadai_paneer
345,..\..\data\raw\FoodClassification\chole_bhature\332.jpg,chole_bhature
346,..\..\data\raw\FoodClassification\pav_bhaji\111.jpg,pav_bhaji
347,..\..\data\raw\FoodClassification\dal_makhani\306.jpg,dal_makhani
348,..\..\data\raw\FoodClassification\kaathi_rolls\110.jpg,kaathi_rolls
349,..\..\data\raw\FoodClassification\dhokla\025.jpg,dhokla
350,..\..\data\raw\FoodClassification\jalebi\066.jpg,jalebi
351,..\..\data\raw\FoodClassification\momos\269.jpg,momos
352,..\..\data\raw\FoodClassification\fried_rice\104.jpg,fried_rice
353,..\..\data\raw\FoodClassification\chapati\128.jpg,chapati
354,..\..\data\raw\FoodClassification\chai\234.jpg,chai
355,..\..\data\raw\FoodClassification\chapati\363.jpg,chapati
356,..\..\data\raw\FoodClassification\samosa\128.jpg,samosa
357,..\..\data\raw\FoodClassification\chole_bhature\211.jpg,chole_bhature
358,..\..\data\raw\FoodClassification\idli\239.jpg,idli
359,..\..\data\raw\FoodClassification\kaathi_rolls\053.jpg,kaathi_rolls
360,..\..\data\raw\FoodClassification\dhokla\007.jpg,dhokla
361,..\..\data\raw\FoodClassification\jalebi\094.jpg,jalebi
362,..\..\data\raw\FoodClassification\chapati\352.jpg,chapati
363,..\..\data\raw\FoodClassification\dal_makhani\106.jpg,dal_makhani
364,..\..\data\raw\FoodClassification\chapati\357.jpg,chapati
365,..\..\data\raw\FoodClassification\kulfi\233.jpg,kulfi
366,..\..\data\raw\FoodClassification\burger\133.jpg,burger
367,..\..\data\raw\FoodClassification\kulfi\027.jpg,kulfi
368,..\..\data\raw\FoodClassification\pakode\163.jpg,pakode
369,..\..\data\raw\FoodClassification\chapati\149.jpg,chapati
370,..\..\data\raw\FoodClassification\chole_bhature\294.jpg,chole_bhature
371,..\..\data\raw\FoodClassification\pakode\201.jpg,pakode
372,..\..\data\raw\FoodClassification\kadai_paneer\408.jpg,kadai_paneer
373,..\..\data\raw\FoodClassification\masala_dosa\061.jpg,masala_dosa
374,..\..\data\raw\FoodClassification\chapati\018.jpg,chapati
375,..\..\data\raw\FoodClassification\kulfi\221.jpg,kulfi
376,..\..\data\raw\FoodClassification\jalebi\173.jpg,jalebi
377,..\..\data\raw\FoodClassification\butter_naan\193.jpg,butter_naan
378,..\..\data\raw\FoodClassification\dal_makhani\183.jpg,dal_makhani
379,..\..\data\raw\FoodClassification\chole_bhature\263.jpg,chole_bhature
380,..\..\data\raw\FoodClassification\samosa\048.jpg,samosa
381,..\..\data\raw\FoodClassification\dhokla\115.jpg,dhokla
382,..\..\data\raw\FoodClassification\butter_naan\104.jpg,butter_naan
383,..\..\data\raw\FoodClassification\chai\081.jpg,chai
384,..\..\data\raw\FoodClassification\jalebi\140.jpg,jalebi
385,..\..\data\raw\FoodClassification\burger\190.jpg,burger
386,..\..\data\raw\FoodClassification\kaathi_rolls\055.jpg,kaathi_rolls
387,..\..\data\raw\FoodClassification\samosa\184.jpg,samosa
388,..\..\data\raw\FoodClassification\samosa\134.jpg,samosa
389,..\..\data\raw\FoodClassification\burger\036.jpg,burger
390,..\..\data\raw\FoodClassification\burger\267.jpg,burger
391,..\..\data\raw\FoodClassification\jalebi\197.jpg,jalebi
392,..\..\data\raw\FoodClassification\momos\230.jpg,momos
393,..\..\data\raw\FoodClassification\masala_dosa\132.jpg,masala_dosa
394,..\..\data\raw\FoodClassification\pav_bhaji\280.jpg,pav_bhaji
395,..\..\data\raw\FoodClassification\pizza\258.jpg,pizza
396,..\..\data\raw\FoodClassification\chole_bhature\226.jpg,chole_bhature
397,..\..\data\raw\FoodClassification\pizza\221.jpg,pizza
398,..\..\data\raw\FoodClassification\chole_bhature\127.jpg,chole_bhature
399,..\..\data\raw\FoodClassification\idli\203.jpg,idli
400,..\..\data\raw\FoodClassification\pizza\164.jpg,pizza
